order,sensor_id,name,status,expected_x_mm,expected_y_mm,expected_z_mm,measured_x_mm,measured_y_mm,measured_z_mm,offset_x_mm,offset_y_mm,offset_z_mm,distance_error_mm,distance_error_cm,photo_file,confirmed_at,corrected,grade,reprojection_error_px,reprojection_error_mm,jitter_mm,motion_mm,motion_deg,stable_lock,reference_tag_id,pose_marker_ids,placed_at_wall_millis,drift_delta_mm,drift_corrected_at_wall_millis,drift_pose_marker_ids,as_placed_x_mm,as_placed_y_mm,as_placed_z_mm
1,1,sens,ok,95,90,1500,95,90,1500,0,0,0,0,0.0,,2026-09-11T11:37:50.710238,,medium,0.98,0.86,0.62,0.46,0.03,no,3,3,1789119470709,,,,,,
2,2,sens,ok,194,88,1500,194,88,1500,0,0,0,0,0.0,,2026-09-11T11:37:55.529295,,high,0.65,0.60,0.73,0.08,0.04,yes,3,3,1789119475528,,,,,,
3,3,sens,ok,293,87,1500,293,87,1500,0,0,0,0,0.0,,2026-09-11T11:37:57.606353,,medium,0.13,,,0.92,0.23,no,3,,1789119477606,,,,,,
4,4,sens,ok,390,87,1500,390,87,1500,0,0,0,0,0.0,,2026-09-11T11:37:59.437538,,medium,0.13,,,0.43,0.08,no,3,,1789119479437,,,,,,
5,5,sens,ok,491,84,1500,491,84,1500,0,0,0,0,0.0,,2026-09-11T11:38:03.412303,,medium,0.13,,,0.48,0.17,no,3,,1789119483411,,,,,,
6,6,sens,ok,586,87,1500,586,87,1500,0,0,0,0,0.0,,2026-09-11T11:38:05.880521,,medium,0.34,0.42,1.17,0.13,0.11,no,4,4,1789119485880,,,,,,
7,7,sens,ok,690,88,1500,690,88,1500,0,0,0,0,0.0,,2026-09-11T11:38:11.705706,,medium,0.45,0.45,1.07,0.21,0.06,no,4,4,1789119491705,,,,,,
8,8,sens,ok,787,86,1500,787,86,1500,0,0,0,0,0.0,,2026-09-11T11:38:14.901544,,high,0.85,0.90,1.04,0.52,0.09,yes,4,4,1789119494901,,,,,,
9,9,sens,ok,887,86,1500,887,86,1500,0,0,0,0,0.0,,2026-09-11T11:38:16.946068,,medium,1.16,1.21,1.21,0.71,0.22,no,4,4,1789119496945,,,,,,
10,10,sens,ok,789,189,1500,789,189,1500,0,0,0,0,0.0,,2026-09-11T11:38:23.557998,,high,0.90,0.78,0.40,0.36,0.04,yes,4,4,1789119503557,,,,,,
11,11,sens,ok,690,190,1500,690,190,1500,0,0,0,0,0.0,,2026-09-11T11:38:26.316128,,medium,0.59,,,0.10,0.07,no,4,,1789119506315,,,,,,
12,12,sens,ok,592,186,1500,592,186,1500,0,0,0,0,0.0,,2026-09-11T11:38:28.810949,,medium,0.59,,,1.29,0.14,no,4,,1789119508810,,,,,,
13,13,sens,ok,493,188,1500,493,188,1500,0,0,0,0,0.0,,2026-09-11T11:38:30.692877,,medium,0.59,,,0.51,0.13,no,4,,1789119510692,,,,,,
14,14,sens,ok,391,182,1500,391,182,1500,0,0,0,0,0.0,,2026-09-11T11:38:34.642108,,medium,0.59,,,0.84,0.09,no,4,,1789119514641,,,,,,
15,15,sens,ok,298,186,1500,298,186,1500,0,0,0,0,0.0,,2026-09-11T11:38:36.684464,,medium,0.02,0.03,0.60,0.33,0.08,no,3,3,1789119516684,,,,,,
16,16,sens,ok,192,192,1500,192,192,1500,0,0,0,0,0.0,,2026-09-11T11:38:39.887151,,medium,0.72,0.72,0.84,0.67,0.11,no,3,3,1789119519886,,,,,,
17,17,sens,ok,94,288,1500,94,288,1500,0,0,0,0,0.0,,2026-09-11T11:38:45.090229,,medium,1.37,1.25,0.71,0.63,0.23,no,3,3,1789119525089,,,,,,
18,18,sens,ok,197,286,1500,197,286,1500,0,0,0,0,0.0,,2026-09-11T11:38:48.921272,,medium,0.17,0.13,0.67,0.39,0.15,no,3,3,1789119528920,,,,,,
19,19,sens,ok,298,285,1500,298,285,1500,0,0,0,0,0.0,,2026-09-11T11:38:52.934776,,medium,0.65,,,0.15,0.10,no,3,,1789119532934,,,,,,
20,20,sens,ok,397,283,1500,397,283,1500,0,0,0,0,0.0,,2026-09-11T11:38:54.337529,,medium,0.65,,,0.25,0.11,no,3,,1789119534337,,,,,,
21,21,sens,ok,495,277,1500,495,277,1500,0,0,0,0,0.0,,2026-09-11T11:38:55.718091,,medium,0.65,,,0.28,0.14,no,3,,1789119535717,,,,,,
22,22,sens,ok,591,275,1500,591,275,1500,0,0,0,0,0.0,,2026-09-11T11:38:57.500035,,medium,0.65,,,0.41,0.05,no,3,,1789119537499,,,,,,
23,23,sens,ok,690,286,1500,690,286,1500,0,0,0,0,0.0,,2026-09-11T11:38:59.113842,,medium,0.10,0.12,1.17,0.57,0.08,no,4,4,1789119539113,,,,,,
24,24,sens,ok,784,285,1500,784,285,1500,0,0,0,0,0.0,,2026-09-11T11:39:00.944549,,medium,1.48,1.73,,0.24,0.10,no,4,4,1789119540944,,,,,,
25,25,sens,ok,887,285,1500,887,285,1500,0,0,0,0,0.0,,2026-09-11T11:39:03.290159,,medium,0.87,1.02,2.68,0.51,0.23,no,4,4,1789119543289,,,,,,
26,26,sens,ok,884,414,1201,884,414,1201,0,0,0,0,0.0,,2026-09-11T11:39:43.556893,,medium,0.33,,,0.10,0.00,no,4,,1789119583556,,,,,,
27,27,sens,ok,784,414,1203,784,414,1203,0,0,0,0,0.0,,2026-09-11T11:39:45.722267,,medium,0.33,,,0.14,0.13,no,4,,1789119585721,,,,,,
28,28,sens,ok,685,414,1201,685,414,1201,0,0,0,0,0.0,,2026-09-11T11:39:48.695878,,medium,0.33,,,0.24,0.04,no,4,,1789119588695,,,,,,
29,29,sens,ok,593,414,1204,593,414,1204,0,0,0,0,0.0,,2026-09-11T11:39:51.132392,,medium,0.33,,,0.47,0.04,no,4,,1789119591132,,,,,,
30,30,sens,ok,496,414,1202,496,414,1202,0,0,0,0,0.0,,2026-09-11T11:40:24.773701,,medium,0.18,,,0.65,0.13,no,8,,1789119624773,,,,,,
31,31,sens,ok,404,414,1200,404,414,1200,0,0,0,0,0.0,,2026-09-11T11:40:27.602871,,high,1.07,1.35,1.43,0.18,0.06,yes,8,8,1789119627602,,,,,,
32,32,sens,ok,298,414,1199,298,414,1199,0,0,0,0,0.0,,2026-09-11T11:40:34.262565,,medium,0.14,0.17,0.79,0.26,0.03,no,8,8,1789119634262,,,,,,
33,33,sens,ok,201,414,1200,201,414,1200,0,0,0,0,0.0,,2026-09-11T11:40:36.267557,,high,1.02,1.26,0.84,0.21,0.18,yes,8,8,1789119636267,,,,,,
34,34,sens,ok,101,414,1205,101,414,1205,0,0,0,0,0.0,,2026-09-11T11:40:38.198539,,high,1.30,1.62,1.05,0.21,0.06,yes,8,8,1789119638198,,,,,,
35,35,sens,ok,98,414,907,98,414,907,0,0,0,0,0.0,,2026-09-11T11:40:43.163873,,medium,1.45,,,0.88,0.15,no,8,,1789119643163,,,,,,
36,36,sens,ok,197,414,905,197,414,905,0,0,0,0,0.0,,2026-09-11T11:40:44.559908,,medium,1.45,,,0.29,0.07,no,8,,1789119644559,,,,,,
37,37,sens,ok,296,414,901,296,414,901,0,0,0,0,0.0,,2026-09-11T11:40:46.315098,,medium,1.45,,,0.32,0.04,no,8,,1789119646314,,,,,,
38,38,sens,ok,406,414,903,406,414,903,0,0,0,0,0.0,,2026-09-11T11:40:47.594359,,medium,1.45,,,0.29,0.09,no,8,,1789119647594,,,,,,
39,39,sens,ok,495,414,904,495,414,904,0,0,0,0,0.0,,2026-09-11T11:40:48.957046,,medium,1.45,,,0.93,0.15,no,8,,1789119648956,,,,,,
40,40,sens,ok,596,414,900,596,414,900,0,0,0,0,0.0,,2026-09-11T11:40:50.491462,,medium,1.45,,,0.34,0.06,no,8,,1789119650491,,,,,,
41,41,sens,ok,685,414,904,685,414,904,0,0,0,0,0.0,,2026-09-11T11:41:16.976316,,medium,1.38,,,0.53,0.17,no,7,,1789119676975,,,,,,
42,42,sens,ok,783,414,897,783,414,897,0,0,0,0,0.0,,2026-09-11T11:41:19.400981,,medium,1.38,,,1.47,0.11,no,7,,1789119679400,,,,,,
43,43,sens,ok,890,414,895,890,414,895,0,0,0,0,0.0,,2026-09-11T11:41:21.25292,,medium,1.38,,,0.31,0.17,no,7,,1789119681252,,,,,,
